"SYSTEM", "1", "SYSTEM", "System Start", " "
"main", "2", "SYSTEM", "Thread Start", " main (1)"
"main", "3", "SYSTEM", "Type Load", " class=java.lang.Object"
"main", "4", "SYSTEM", "Type Load", " class=DiningProgrammers"
"main", "5", "SYSTEM", "Method Call", " caller=SYSTEM, target=DiningProgrammers#main:1"
"main", "6", "SYSTEM", "Method Entered", " "
"main", "7", "SYSTEM", "Type Load", " class=java.lang.String"
"main", "8", "SYSTEM", "New Object", " object=java.lang.String[]:1"
"main", "9", "SYSTEM", "Variable Write", " context=DiningProgrammers#main:1, args=java.lang.String[]:1"
"main", "10", "SYSTEM", "Line Step", " <source unavailable>"
"main", "11", "SYSTEM", "Type Load", " class=Forks"
"main", "12", "SYSTEM", "New Object", " object=Forks:1"
"main", "13", "SYSTEM", "Method Call", " caller=DiningProgrammers#main:1, target=Forks:1#Forks:1"
"main", "14", "SYSTEM", "Method Entered", " "
"main", "15", "SYSTEM", "Line Step", " <source unavailable>"
"main", "16", "SYSTEM", "Line Step", " <source unavailable>"
"main", "17", "SYSTEM", "Field Write", " context=Forks:1, n=5"
"main", "18", "SYSTEM", "Line Step", " <source unavailable>"
"main", "19", "SYSTEM", "Method Exit", " returner=Forks:1#Forks:1, value=<void>"
"main", "20", "SYSTEM", "Method Returned", " "
"main", "21", "SYSTEM", "Line Step", " <source unavailable>"
"main", "22", "SYSTEM", "Variable Write", " context=DiningProgrammers#main:1, fs=Forks:1"
"main", "23", "SYSTEM", "Line Step", " <source unavailable>"
"main", "24", "SYSTEM", "Type Load", " class=java.lang.Thread"
"main", "25", "SYSTEM", "Type Load", " class=Programmer"
"main", "26", "SYSTEM", "New Object", " object=Programmer:1"
"main", "27", "SYSTEM", "Method Call", " caller=DiningProgrammers#main:1, target=Programmer:1#Programmer:1"
"main", "28", "SYSTEM", "Method Entered", " "
"main", "29", "SYSTEM", "Variable Write", " context=Programmer:1#Programmer:1, name=""James"""
"main", "30", "SYSTEM", "Variable Write", " context=Programmer:1#Programmer:1, fs=Forks:1"
"main", "31", "SYSTEM", "Line Step", " <source unavailable>"
"main", "32", "SYSTEM", "Line Step", " <source unavailable>"
"main", "33", "SYSTEM", "Field Write", " context=Programmer:1, count=0"
"main", "34", "SYSTEM", "Line Step", " <source unavailable>"
"main", "35", "SYSTEM", "Field Write", " context=Programmer:1, name=""James"""
"main", "36", "SYSTEM", "Line Step", " <source unavailable>"
"main", "37", "SYSTEM", "Field Write", " context=Programmer:1, count=0"
"main", "38", "SYSTEM", "Line Step", " <source unavailable>"
"main", "39", "SYSTEM", "Field Write", " context=Programmer:1, fs=Forks:1"
"main", "40", "SYSTEM", "Line Step", " <source unavailable>"
"main", "41", "SYSTEM", "Method Exit", " returner=Programmer:1#Programmer:1, value=<void>"
"main", "42", "SYSTEM", "Method Returned", " "
"main", "43", "SYSTEM", "Line Step", " <source unavailable>"
"main", "44", "SYSTEM", "Variable Write", " context=DiningProgrammers#main:1, p1=Programmer:1"
"main", "45", "SYSTEM", "Line Step", " <source unavailable>"
"main", "46", "SYSTEM", "New Object", " object=Programmer:2"
"main", "47", "SYSTEM", "Method Call", " caller=DiningProgrammers#main:1, target=Programmer:2#Programmer:2"
"main", "48", "SYSTEM", "Method Entered", " "
"main", "49", "SYSTEM", "Variable Write", " context=Programmer:2#Programmer:2, name=""Bjarne"""
"main", "50", "SYSTEM", "Variable Write", " context=Programmer:2#Programmer:2, fs=Forks:1"
"main", "51", "SYSTEM", "Line Step", " <source unavailable>"
"main", "52", "SYSTEM", "Line Step", " <source unavailable>"
"main", "53", "SYSTEM", "Field Write", " context=Programmer:2, count=0"
"main", "54", "SYSTEM", "Line Step", " <source unavailable>"
"main", "55", "SYSTEM", "Field Write", " context=Programmer:2, name=""Bjarne"""
"main", "56", "SYSTEM", "Line Step", " <source unavailable>"
"main", "57", "SYSTEM", "Field Write", " context=Programmer:2, count=0"
"main", "58", "SYSTEM", "Line Step", " <source unavailable>"
"main", "59", "SYSTEM", "Field Write", " context=Programmer:2, fs=Forks:1"
"main", "60", "SYSTEM", "Line Step", " <source unavailable>"
"main", "61", "SYSTEM", "Method Exit", " returner=Programmer:2#Programmer:2, value=<void>"
"main", "62", "SYSTEM", "Method Returned", " "
"main", "63", "SYSTEM", "Line Step", " <source unavailable>"
"main", "64", "SYSTEM", "Variable Write", " context=DiningProgrammers#main:1, p2=Programmer:2"
"main", "65", "SYSTEM", "Line Step", " <source unavailable>"
"main", "66", "SYSTEM", "New Object", " object=Programmer:3"
"main", "67", "SYSTEM", "Method Call", " caller=DiningProgrammers#main:1, target=Programmer:3#Programmer:3"
"main", "68", "SYSTEM", "Method Entered", " "
"main", "69", "SYSTEM", "Variable Write", " context=Programmer:3#Programmer:3, name=""Guido"""
"main", "70", "SYSTEM", "Variable Write", " context=Programmer:3#Programmer:3, fs=Forks:1"
"main", "71", "SYSTEM", "Line Step", " <source unavailable>"
"main", "72", "SYSTEM", "Line Step", " <source unavailable>"
"main", "73", "SYSTEM", "Field Write", " context=Programmer:3, count=0"
"main", "74", "SYSTEM", "Line Step", " <source unavailable>"
"main", "75", "SYSTEM", "Field Write", " context=Programmer:3, name=""Guido"""
"main", "76", "SYSTEM", "Line Step", " <source unavailable>"
"main", "77", "SYSTEM", "Field Write", " context=Programmer:3, count=0"
"main", "78", "SYSTEM", "Line Step", " <source unavailable>"
"main", "79", "SYSTEM", "Field Write", " context=Programmer:3, fs=Forks:1"
"main", "80", "SYSTEM", "Line Step", " <source unavailable>"
"main", "81", "SYSTEM", "Method Exit", " returner=Programmer:3#Programmer:3, value=<void>"
"main", "82", "SYSTEM", "Method Returned", " "
"main", "83", "SYSTEM", "Line Step", " <source unavailable>"
"main", "84", "SYSTEM", "Variable Write", " context=DiningProgrammers#main:1, p3=Programmer:3"
"main", "85", "SYSTEM", "Line Step", " <source unavailable>"
"main", "86", "SYSTEM", "New Object", " object=Programmer:4"
"main", "87", "SYSTEM", "Method Call", " caller=DiningProgrammers#main:1, target=Programmer:4#Programmer:4"
"main", "88", "SYSTEM", "Method Entered", " "
"main", "89", "SYSTEM", "Variable Write", " context=Programmer:4#Programmer:4, name=""Brendan"""
"main", "90", "SYSTEM", "Variable Write", " context=Programmer:4#Programmer:4, fs=Forks:1"
"main", "91", "SYSTEM", "Line Step", " <source unavailable>"
"main", "92", "SYSTEM", "Line Step", " <source unavailable>"
"main", "93", "SYSTEM", "Field Write", " context=Programmer:4, count=0"
"main", "94", "SYSTEM", "Line Step", " <source unavailable>"
"main", "95", "SYSTEM", "Field Write", " context=Programmer:4, name=""Brendan"""
"main", "96", "SYSTEM", "Line Step", " <source unavailable>"
"main", "97", "SYSTEM", "Field Write", " context=Programmer:4, count=0"
"main", "98", "SYSTEM", "Line Step", " <source unavailable>"
"main", "99", "SYSTEM", "Field Write", " context=Programmer:4, fs=Forks:1"
"main", "100", "SYSTEM", "Line Step", " <source unavailable>"
"main", "101", "SYSTEM", "Method Exit", " returner=Programmer:4#Programmer:4, value=<void>"
"main", "102", "SYSTEM", "Method Returned", " "
"main", "103", "SYSTEM", "Line Step", " <source unavailable>"
"main", "104", "SYSTEM", "Variable Write", " context=DiningProgrammers#main:1, p4=Programmer:4"
"main", "105", "SYSTEM", "Line Step", " <source unavailable>"
"main", "106", "SYSTEM", "New Object", " object=Programmer:5"
"main", "107", "SYSTEM", "Method Call", " caller=DiningProgrammers#main:1, target=Programmer:5#Programmer:5"
"main", "108", "SYSTEM", "Method Entered", " "
"main", "109", "SYSTEM", "Variable Write", " context=Programmer:5#Programmer:5, name=""Martin"""
"main", "110", "SYSTEM", "Variable Write", " context=Programmer:5#Programmer:5, fs=Forks:1"
"main", "111", "SYSTEM", "Line Step", " <source unavailable>"
"main", "112", "SYSTEM", "Line Step", " <source unavailable>"
"main", "113", "SYSTEM", "Field Write", " context=Programmer:5, count=0"
"main", "114", "SYSTEM", "Line Step", " <source unavailable>"
"main", "115", "SYSTEM", "Field Write", " context=Programmer:5, name=""Martin"""
"main", "116", "SYSTEM", "Line Step", " <source unavailable>"
"main", "117", "SYSTEM", "Field Write", " context=Programmer:5, count=0"
"main", "118", "SYSTEM", "Line Step", " <source unavailable>"
"main", "119", "SYSTEM", "Field Write", " context=Programmer:5, fs=Forks:1"
"main", "120", "SYSTEM", "Line Step", " <source unavailable>"
"main", "121", "SYSTEM", "Method Exit", " returner=Programmer:5#Programmer:5, value=<void>"
"main", "122", "SYSTEM", "Method Returned", " "
"main", "123", "SYSTEM", "Line Step", " <source unavailable>"
"main", "124", "SYSTEM", "Variable Write", " context=DiningProgrammers#main:1, p5=Programmer:5"
"main", "125", "SYSTEM", "Line Step", " <source unavailable>"
"main", "126", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-0", "127", "SYSTEM", "Thread Start", " Thread-0 (29)"
"Thread-0", "128", "SYSTEM", "Method Call", " caller=SYSTEM, target=Programmer:1#run:1"
"Thread-0", "129", "SYSTEM", "Method Entered", " "
"main", "130", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-1", "131", "SYSTEM", "Thread Start", " Thread-1 (31)"
