"SYSTEM", "1", "SYSTEM", "System Start", " "
"main", "2", "SYSTEM", "Thread Start", " main (1)"
"main", "3", "SYSTEM", "Type Load", " class=java.lang.Object"
"main", "4", "SYSTEM", "Type Load", " class=RWP_MessagePassing"
"main", "5", "RWP_MessagePassing.java:13", "Method Call", " caller=SYSTEM, target=RWP_MessagePassing#main:1"
"main", "6", "RWP_MessagePassing.java:11", "Method Entered", " "
"main", "7", "SYSTEM", "Type Load", " class=java.lang.String"
"main", "8", "RWP_MessagePassing.java:11", "New Object", " object=java.lang.String[]:1"
"main", "9", "RWP_MessagePassing.java:11", "Variable Write", " context=RWP_MessagePassing#main:1, args=java.lang.String[]:1"
"main", "10", "RWP_MessagePassing.java:13", "Line Step", " file=RWP_MessagePassing.java, line=13"
"main", "11", "SYSTEM", "Type Load", " class=Scheduler.Process"
"main", "12", "SYSTEM", "Type Load", " class=RWController"
"main", "13", "RWP_MessagePassing.java:13", "New Object", " object=RWController:1"
"main", "14", "RWP_MessagePassing.java:13", "Method Call", " caller=RWP_MessagePassing#main:1, target=RWController:1#RWController:1"
"main", "15", "RWP_MessagePassing.java:94", "Method Entered", " "
"main", "16", "RWP_MessagePassing.java:92", "Line Step", " file=RWP_MessagePassing.java, line=92"
"main", "17", "RWP_MessagePassing.java:94", "Line Step", " file=RWP_MessagePassing.java, line=94"
"main", "18", "RWP_MessagePassing.java:94", "Field Write", " context=RWController:1, r=0"
"main", "19", "RWP_MessagePassing.java:94", "Field Write", " context=RWController:1, w=0"
"main", "20", "RWP_MessagePassing.java:94", "Field Write", " context=RWController:1, ww=0"
"main", "21", "RWP_MessagePassing.java:94", "Field Write", " context=RWController:1, wr=0"
"main", "22", "RWP_MessagePassing.java:92", "Line Step", " file=RWP_MessagePassing.java, line=92"
"main", "23", "RWP_MessagePassing.java:92", "Method Exit", " returner=RWController:1#RWController:1, value=<void>"
"main", "24", "RWP_MessagePassing.java:13", "Method Returned", " "
"main", "25", "RWP_MessagePassing.java:13", "Line Step", " file=RWP_MessagePassing.java, line=13"
"main", "26", "RWP_MessagePassing.java:13", "Variable Write", " context=RWP_MessagePassing#main:1, rwc=RWController:1"
"main", "27", "RWP_MessagePassing.java:14", "Line Step", " file=RWP_MessagePassing.java, line=14"
"main", "28", "SYSTEM", "Type Load", " class=Database"
"main", "29", "RWP_MessagePassing.java:14", "New Object", " object=Database:1"
"main", "30", "RWP_MessagePassing.java:14", "Method Call", " caller=RWP_MessagePassing#main:1, target=Database:1#Database:1"
"main", "31", "RWP_MessagePassing.java:71", "Method Entered", " "
"main", "32", "RWP_MessagePassing.java:69", "Line Step", " file=RWP_MessagePassing.java, line=69"
"main", "33", "RWP_MessagePassing.java:71", "Line Step", " file=RWP_MessagePassing.java, line=71"
"main", "34", "RWP_MessagePassing.java:71", "Field Write", " context=Database:1, data=0"
"main", "35", "RWP_MessagePassing.java:69", "Line Step", " file=RWP_MessagePassing.java, line=69"
"main", "36", "RWP_MessagePassing.java:69", "Method Exit", " returner=Database:1#Database:1, value=<void>"
"main", "37", "RWP_MessagePassing.java:14", "Method Returned", " "
"main", "38", "RWP_MessagePassing.java:14", "Line Step", " file=RWP_MessagePassing.java, line=14"
"main", "39", "RWP_MessagePassing.java:14", "Variable Write", " context=RWP_MessagePassing#main:1, d=Database:1"
"main", "40", "RWP_MessagePassing.java:16", "Line Step", " file=RWP_MessagePassing.java, line=16"
"main", "41", "SYSTEM", "Type Load", " class=Reader"
"main", "42", "RWP_MessagePassing.java:16", "New Object", " object=Reader:1"
"main", "43", "RWP_MessagePassing.java:16", "Method Call", " caller=RWP_MessagePassing#main:1, target=Reader:1#Reader:1"
"main", "44", "RWP_MessagePassing.java:38", "Method Entered", " "
"main", "45", "RWP_MessagePassing.java:38", "Line Step", " file=RWP_MessagePassing.java, line=38"
"main", "46", "RWP_MessagePassing.java:38", "Method Exit", " returner=Reader:1#Reader:1, value=<void>"
"main", "47", "RWP_MessagePassing.java:16", "Method Returned", " "
"main", "48", "RWP_MessagePassing.java:16", "Line Step", " file=RWP_MessagePassing.java, line=16"
"main", "49", "RWP_MessagePassing.java:16", "Variable Write", " context=RWP_MessagePassing#main:1, r1=Reader:1"
"main", "50", "RWP_MessagePassing.java:17", "Line Step", " file=RWP_MessagePassing.java, line=17"
"main", "51", "RWP_MessagePassing.java:17", "New Object", " object=Reader:2"
"main", "52", "RWP_MessagePassing.java:17", "Method Call", " caller=RWP_MessagePassing#main:1, target=Reader:2#Reader:2"
"main", "53", "RWP_MessagePassing.java:38", "Method Entered", " "
"main", "54", "RWP_MessagePassing.java:38", "Line Step", " file=RWP_MessagePassing.java, line=38"
"main", "55", "RWP_MessagePassing.java:38", "Method Exit", " returner=Reader:2#Reader:2, value=<void>"
"main", "56", "RWP_MessagePassing.java:17", "Method Returned", " "
"main", "57", "RWP_MessagePassing.java:17", "Line Step", " file=RWP_MessagePassing.java, line=17"
"main", "58", "RWP_MessagePassing.java:17", "Variable Write", " context=RWP_MessagePassing#main:1, r2=Reader:2"
"main", "59", "RWP_MessagePassing.java:18", "Line Step", " file=RWP_MessagePassing.java, line=18"
"main", "60", "RWP_MessagePassing.java:18", "New Object", " object=Reader:3"
"main", "61", "RWP_MessagePassing.java:18", "Method Call", " caller=RWP_MessagePassing#main:1, target=Reader:3#Reader:3"
"main", "62", "RWP_MessagePassing.java:38", "Method Entered", " "
"main", "63", "RWP_MessagePassing.java:38", "Line Step", " file=RWP_MessagePassing.java, line=38"
"main", "64", "RWP_MessagePassing.java:38", "Method Exit", " returner=Reader:3#Reader:3, value=<void>"
"main", "65", "RWP_MessagePassing.java:18", "Method Returned", " "
"main", "66", "RWP_MessagePassing.java:18", "Line Step", " file=RWP_MessagePassing.java, line=18"
"main", "67", "RWP_MessagePassing.java:18", "Variable Write", " context=RWP_MessagePassing#main:1, r3=Reader:3"
"main", "68", "RWP_MessagePassing.java:19", "Line Step", " file=RWP_MessagePassing.java, line=19"
"main", "69", "RWP_MessagePassing.java:19", "New Object", " object=Reader:4"
"main", "70", "RWP_MessagePassing.java:19", "Method Call", " caller=RWP_MessagePassing#main:1, target=Reader:4#Reader:4"
"main", "71", "RWP_MessagePassing.java:38", "Method Entered", " "
"main", "72", "RWP_MessagePassing.java:38", "Line Step", " file=RWP_MessagePassing.java, line=38"
"main", "73", "RWP_MessagePassing.java:38", "Method Exit", " returner=Reader:4#Reader:4, value=<void>"
"main", "74", "RWP_MessagePassing.java:19", "Method Returned", " "
"main", "75", "RWP_MessagePassing.java:19", "Line Step", " file=RWP_MessagePassing.java, line=19"
"main", "76", "RWP_MessagePassing.java:19", "Variable Write", " context=RWP_MessagePassing#main:1, r4=Reader:4"
"main", "77", "RWP_MessagePassing.java:20", "Line Step", " file=RWP_MessagePassing.java, line=20"
"main", "78", "RWP_MessagePassing.java:20", "New Object", " object=Reader:5"
"main", "79", "RWP_MessagePassing.java:20", "Method Call", " caller=RWP_MessagePassing#main:1, target=Reader:5#Reader:5"
"main", "80", "RWP_MessagePassing.java:38", "Method Entered", " "
"main", "81", "RWP_MessagePassing.java:38", "Line Step", " file=RWP_MessagePassing.java, line=38"
"main", "82", "RWP_MessagePassing.java:38", "Method Exit", " returner=Reader:5#Reader:5, value=<void>"
"main", "83", "RWP_MessagePassing.java:20", "Method Returned", " "
"main", "84", "RWP_MessagePassing.java:20", "Line Step", " file=RWP_MessagePassing.java, line=20"
"main", "85", "RWP_MessagePassing.java:20", "Variable Write", " context=RWP_MessagePassing#main:1, r5=Reader:5"
"main", "86", "RWP_MessagePassing.java:22", "Line Step", " file=RWP_MessagePassing.java, line=22"
"main", "87", "SYSTEM", "Type Load", " class=Writer"
"main", "88", "RWP_MessagePassing.java:22", "New Object", " object=Writer:1"
"main", "89", "RWP_MessagePassing.java:22", "Method Call", " caller=RWP_MessagePassing#main:1, target=Writer:1#Writer:1"
"main", "90", "RWP_MessagePassing.java:53", "Method Entered", " "
"main", "91", "RWP_MessagePassing.java:53", "Line Step", " file=RWP_MessagePassing.java, line=53"
"main", "92", "RWP_MessagePassing.java:53", "Method Exit", " returner=Writer:1#Writer:1, value=<void>"
"main", "93", "RWP_MessagePassing.java:22", "Method Returned", " "
"main", "94", "RWP_MessagePassing.java:22", "Line Step", " file=RWP_MessagePassing.java, line=22"
"main", "95", "RWP_MessagePassing.java:22", "Variable Write", " context=RWP_MessagePassing#main:1, w1=Writer:1"
"main", "96", "RWP_MessagePassing.java:23", "Line Step", " file=RWP_MessagePassing.java, line=23"
"main", "97", "RWP_MessagePassing.java:23", "New Object", " object=Writer:2"
"main", "98", "RWP_MessagePassing.java:23", "Method Call", " caller=RWP_MessagePassing#main:1, target=Writer:2#Writer:2"
"main", "99", "RWP_MessagePassing.java:53", "Method Entered", " "
"main", "100", "RWP_MessagePassing.java:53", "Line Step", " file=RWP_MessagePassing.java, line=53"
"main", "101", "RWP_MessagePassing.java:53", "Method Exit", " returner=Writer:2#Writer:2, value=<void>"
"main", "102", "RWP_MessagePassing.java:23", "Method Returned", " "
"main", "103", "RWP_MessagePassing.java:23", "Line Step", " file=RWP_MessagePassing.java, line=23"
